video_id,final_views
MuUM8_57lFk,4472
Y1xEFCUbKRE,135042
t7WSgrQyRZY,3539
F3fW3l5Jrsg,19964
ilzUTM62bSs,337120
5lTeUQFaSuM,35544
FWapuJ8c_1k,123665
UUduIxlUpgg,3244
KKxMREzaxcU,23472
ADEx8kz_Oe4,28210
g47Z0eAGB3k,3067
RPLlCAMr_fo,1573
bZ644Gk2aAc,8370
TziOJ1i4rjM,1028
lerXK8wUlpk,2067
_3Z8Uo7DBxg,3369
GIXOThmYJbA,57285
3rEd0NMfxto,45329
vhxBllBt2wg,30225
Oh2yYPZqmIo,4236
vTJW4X7qAEE,4468
ojEzyhih1g0,12011
CZo_vB1NhoI,1300
fQEGKwJFUdw,11103
slugiSJS_Z8,26546
KlMCh2zMuSQ,29581
KfUUOMhWBM0,7505
d2YmNMiyrGA,1462
ifXdYsJmu4I,1575225
l7HeYjtXrEU,1555
YSdLbCf9ULk,3011
zPLmX2IvCnY,849145
jn2PAFVxCBY,4066
p2y9LgMWNN8,546
EUUlFRyITOA,4895
cWSSF4UsZ1I,16806
Jv05Zif_XOs,23577
iX_yo-ll4Es,72049
EVRQCPjPQYc,2391
vNUPekDTxkg,20055
VXf8eCZkZ3M,10405
TCnW7yHPaX0,1536
gD8R9VIQkag,1382
mh_hRCmPnuo,136275
uiDlsFMZep8,23640
wqcKVcBDk7M,10002
rRG2iFcdyt4,2064
iWWLh26srt4,18207
7uErAykEn_8,60397
3-WUfGcnXGU,11486
BrEPKBbleY8,21156
GnWtXeFTGqI,28309
FGCuQAohdeY,4884
gtxIadv1hB8,179909
qgyuBzOPVlo,264520
a-l1Zg1X6Uc,159287
YICe_2xX3EA,2779
tFqkSsRRxFY,4047
5sxsJuzc5yo,232121
pMExzjISaUQ,21767
dLUTz2jFpXs,4292
eS8Ghj1L8xo,31382
-4xnY9kPLbY,35978
6Jrtfp8As9w,3046
Y8R1lpOCov4,18073
5sSqCtcFAjo,1519
DPCtugjIZBg,10732
WFOME2q5gUU,4302
KcYerhw2zDI,33430
Ybryoaj9Vh8,11204054
zLErsNDt9V4,31099
ssddDXgk_wo,6477
j-9SJLGf7FQ,21621
lrNVWb5d2ZI,35852
f-EDRZWyen8,60625
I7hOdT0pIEY,554
QrL9fhJ6aGY,9189
HSAnyaawQDo,8766
vrKvsD47s8k,11486
I8T9VHnThlc,41418
Ga1wegi4nJc,28558
hVCr6r_z5sA,67379
j9uHdsu8AuU,136879
3XYpECSFz_s,8962
Q0BmPXzp-7I,10099
J0lmcdCszTM,1307
nM9yqPlk-Qc,2129
4c4PBCD3JOk,38412
iQ_37alTWbQ,14994
qbSsGHYN9iE,1029510
ZWsV2r90AWQ,715
PzcZfw6AqA0,15426
cnvXm_vUcpw,10414
4pHHPMgINww,1736
YCb2cRKvorY,25447
pV-O2E9exLY,7942
1ppdzjmv_AE,2198
qWd7uIBJyoI,11747
_Mh2NI2jrOw,28657
GGnLYDwy2Nw,9529
_oaKpM1dEuI,1133
GstPioDmhTA,1312024
p50WHFepmq4,8731
R_GLNPRPMVg,2390
HYo1vTr6IUg,129580
p-6vzVoafEc,26656
Yhssr46QB4U,64570
j2DEi7Wg-kk,32521
MSLJMuITHrA,14165
JblR0F6Gfbs,4487
jzPMA-rUSXE,7130
gpZsanbUYW4,8888
b9oll5ce9yk,9364
tSCBMks9OGw,14475
jVKD3nzo45A,4389
X3KMf9R4cVk,1507
rOEfi8nEKuo,3416
wihy5eu8Awo,1122
MNGDSu0mQpc,1000799
VqUYwsCatfs,16596
3-K94ZsMbP4,1279
saw9tS_rjdw,15697
D35aofSFmxA,5657
fqDlpHtmjgg,7897
j1jSv9bUA1I,9912
JGF-RJGvIvM,7944
gCbhfxGRy3c,18822
HeLIE8BtIEY,4613
tGNWR4gLkgc,1474
8njFFHOY8V4,3730
_FIasTIrCYE,11591
RPHIyZwm3gc,24634
V1yiP0DvD7w,5837
N9MCLh2BqM0,939
aJJPtcoTnfg,1239
yF9FqIc4gkQ,2521
V9-6wdvvi9I,3743
qfnTufyOiOg,1421
JjNejCnvxGo,3524
GsqyuHAsxDY,3695
JJt5aotKXLM,1519
nWNCSx5XDW0,6831
YNzlCsjl9kU,3231
Cuk7kBOPNsU,4048
u3Fq4smNTBY,1800
OpKYoRu8f_s,11823
FTUc8Xyy5k0,567
X4Js2LWVCwE,645
sHR2RYvV0is,15631
l96kKVu8JgY,92123
m_6FzTNWh04,6424
Oa1_qB5SqJ4,2921918
ggP9uCaNX3U,9798
OEiiwwXVCso,29197
OolbIzW42eI,19046
Nlhk_dJRjZE,43475
JUg728Oy3J0,6304
yFsvNVlaIho,5404
rac2XSSH14s,7613
VeZYiYMK2vY,6465
rN1mekcpQFE,12250
KimtiBc2pTg,5297
iLcolhs9X78,5427
rQtCMjLnfD8,12686
TtUCQYxj0To,6932
CVhLyWG49EM,43589
58QxyKiJ1p0,4494
PatxiYJZoOk,11438
Nth4I-H4PTs,1178464
_BWSk1Cgs7Q,906
NMkc6KWoLSs,1898
nj2YscM3cwg,1119
IHM48wMTjGI,846
QcuoYD9wzdw,1153
E8ytPUoA5a4,35118
gkSnU-eOlc4,14437
NUX8LuEInY8,3919
-hXwhKO_nqk,938
b5MCklgcJb0,2410
cV4M1PbAyCY,30597
IL6YJaIihIQ,3425
NQ9mEGYDaXg,84893
v5oum45hJFA,10025
wQzkyDrVNVc,14910
Uj5-ZTQ2hy0,6717
Gnk8WBYcVh8,13527
rEbZzviT0Vo,1603
4qquvuOQZwo,2268
IPooCK4sny4,3286
68tK-w7mEKw,102095
mN0R5qidzQA,1221
qvwMN8D0mlo,4773
PgllEhHpkKE,64650
GUmv4XI_TrU,1235
QmtYD-OO46Q,33847
iNLrBkpS64k,5396
l_vldqJz09Y,1986
2CRIGVZSzwc,8249
0YWloD119Wo,3451
4en5U4rfDk0,25912
szcUcy20QWA,3697
5qXvvvqTxzI,788
Bdc6gO_80_Y,44012
-OZPvdZuj-k,2689
3dOnrMwvPVc,25202
sE_6hcr2qMQ,14295
SdCe-LgzQgg,14033
XkFroY7O5VE,28439
YjM0cQHNxAE,13020
45VgV774vlU,10245
ydpHk_2s3CU,6490
2NiKvXucONc,17652
qM7hGPE392w,1606
_96eyaq-yAM,76548
HO8IzzyQyG0,1370
0-gyIlVDTqY,32157
hloPJqWDkQQ,1183
I4HMz-W39i4,36842
2KTtAxKRDxM,2431
_TRm-I6RW3o,1184
BT9m6CiwgEg,1500
XXOdcAOqg_4,11017
drU4en97spQ,3006
lxhYDw5cbvM,14
O9PuRwaLijk,5377
_a2WoP7IprE,26383
KMAOr_TQCOw,6245
xvHI9Navfv8,21630
wuw82GUUDoI,292
YzPASDbGSts,21156
sszqqtaypnU,1516
qk6wXeqjXNY,5301
GjhNZW7ajj4,233475
HR_dKdj_Iqo,1435
QTuUclmcHIE,2705
zK0atnvWgbw,2295
5DRGcXIdzGY,3874
27RRKD5CxQM,3297
bZMvmYPQ_MU,4107
DtSxcRIJ8Pg,14272
BPK7ewfPcn4,2401
ssUXzG9Irys,766
_3NHxsyoZJQ,534
gK_sQvZtk0I,13779
KrBMD1Hlpq0,6
6HxC3E4Sz4o,6132
9LaufbiG4zo,161
2UpeSFYevqw,436280
tf2rp3dYI0U,1815
kD5fwGqQ09o,12174
9FXIROWYYvw,97
uw-1_zJYZDc,13885
dDR3gPcgzAk,114
EIJv15xa9zI,456
E2U9LmY-BeY,1330
Kf7PtAgoeIA,24320
T7DBv7JbWHc,4808
-yQl6f7ZEOk,738
t22AdbQk8DA,18124
ETGGyHjsr4o,10546
VEuVXDbs0Fs,5819
lsyoZwBTErI,3175
Ae-bZa1nj8w,15075
FV6bO4S0Sjs,9065
Y1hAde-AwgM,2314
25yJv1m3bCo,42173
hM9fyS9kSXg,1536
b3HiNo6ZQD0,4084
LlUIcMoT8rI,13549
AGOFFH25OA0,99930
pNhb9aUepBY,1564
uxAnXZ-Z1vc,1150
Atnk_UJhtD4,11023
e8NfBbSUJXI,34072
f3sVYwu3cDo,2484
l4sF1eQUjV8,78
_-ew4OXCCcc,1653
FmIc-py2-Vw,20729
GLUxh_CyzvM,868
i9Gub53LY2o,61046
SX7j19De-9o,6954
uc7e-iHFT0A,62322
8aoi9vOI-kY,21855
8irPQo_BEjE,319
svF-x2R5d_U,2545
APy9e9AT0Fc,411
Femw1dlxQV4,2340
hIX9e9He6b4,156325
oSvZVWLiRsQ,4465
lsjcv9AdRY8,801
rNiFp_lfD-Y,955
cB1LrvIuAJg,3391
2AXuCAOV67M,128850
uUpQkmT-b1A,3741
kIqXBKCOos0,1545
J0Wyy9KEnXw,1102891
O6pCNxe0hoE,346898
S5U0JZZKvOY,849366
TbIJUKmHnGk,16456
ziL9HtbIMls,8879
nmEAgEh_9bk,145
xZOTAgcHMuk,35209
2ynS3ShLrKI,209788
68SAcAf80EA,51781
ke589sxiQxo,1747
aReFmbOimXs,741
1rdfcunX9Ns,1738
pZHVJZIqt0g,3151
VFXNDa4aE0c,3103
xeIT2vAG8Lo,10114
2h66NOa42Bo,19012
pdOzhb6DUkA,15401
m5xapFXownM,6950994
CzFrHiTtJuo,30850
cpNYV-59vSA,88
LoRYLGzf2ko,20789
Yofg760f3X0,288180
oHuGejkTHLw,117532
wu2pvIF33mM,888
cXEZATBdjm8,12777
X4dhj5K8rIs,20238
qZDIDn2AXGQ,85109
404Gj1tASEM,31635
1rlM8QHhGDU,132258
uPauvwFTSYU,4470
6Mg_twdKXZE,1455
LzGblzrU9YI,1504
fxqBbVw-F-4,13142
zm68UgUfUOk,85386
BH3zqBppjX0,16460
Ugc7ZktTd0k,9478
66bv-DPhNVw,69772
vc14Wlc64Uk,28259
CxFgdw21Wlw,402
va8_5IaIDHw,25152
MJGn7W_RsZg,7602
YjwOi8ISihE,21922
rxJfAC1VQ_M,44336
Vi3tSkG-2y4,5207
IHugK23_G9U,21006
5ArfNSAubRg,15323
ISu6WV_lHbM,40402
C8NPE1xgS5Y,2521
uhtFxEjfjNg,11051
aqLj_-rKoys,5264
0kC-dXqDUvU,4361
QezZnmb_H-g,3460
PrKy5GHPcZ8,5644
I102sSekM7I,5593
TOabzF7eKjE,1016
2jUi9oyCGKw,41054
s-0JU6uvrcQ,8855
JrXw5adK3yI,1142
UpztAc3ICfg,2930
vas4rkaiMwg,6408
nWIW1eEsd6A,3225
JqDPdnjes90,17140
V0oXQAVoE1c,21905
2IBn9U1YHG8,134888
GmUl48NVGto,5664
oBAxwhxa-ig,24224
ag_Gn9bbPn0,68940
R166wreAg04,4910
wh8W_fx266c,41315
wQWqUaguYxs,11881
A4JxilP8Okg,3361
i5j0AeaFhx4,5809
38f0sDCX_tE,1126
Dif_BrrR7OA,7326
NgleXRIAiCs,32307
P3iEZp6Cs1k,9037
_G-SRV490Sc,1264
fQVGS8s-voU,1322
L5A2GRdIT_w,9849
BzEPEWvtMak,19643
z8fc4ew7NPU,146242
3vJ79WtpnhY,7294
gTs7sSQWrQs,14392
k-psfPEPnOE,1032
8Pe1cjco28Y,967
FjQR-5Yybb0,550
Awpq0OzV6CE,11080
YtBflq-gKrc,127
NueEawKtbfk,9888
nqZHCIoc30M,53631
EGSguuRmLaU,32137
URru12SZk6w,2898
RYiJMOSgbH8,14696
_fsRkv_CuCE,28616
EbzzBfqGC6M,3591
nsdV0pIa4f8,15255
et8fyX3umug,35988
R4F6Ec8sDvE,14471
zpIw7_Emijw,15205
5etCJUulruQ,6805
QErHNI8ddLs,4568
UjBwfTDX5EY,44824
vjqfq08PC_A,268292
Yv1JcljFNnU,5945
NAzGrgc2o-Q,20232
N7Xguanmo_w,12
JUZxhgaGyoY,1650
ydfZjQDoNoc,403
sfluOMiLJ0M,651
x0s3ivuyvv0,70
RUn2ePrgv68,542
D1XeB6wpK6Y,233
MdpbbL_xMCM,7294
_BIlXKZUw14,80330
OQlm-Il9Oi4,15564
SYNAT-QJTqw,2809
qvK71_8GJcI,736
U03puHiTcVU,1096
Wa_xITp9Gh8,1474
-I7aqyMi3xA,131
50VImfXCzV4,172
hxpGlO_xypE,2855
1k6JZjI7_lg,36694
rPNe0SDoejE,3186
ebzgJL2IStg,6131
clIBTfHqTcQ,10128
Br1FYBvdqSs,8580
AvEolSAAnaI,4468
Kl8EF0WMC_k,927
y4l3s5mJ8yE,2324
i8QfD0vcqTw,139034
b9fLQvSKyTw,16740
jd582OIvKTg,1499
dBqfcgz-jzs,33508
RjmWKeRDYgM,24878
Efa1QqNoNz8,1171
OXOy60zCbzk,30566
SZg6vO9dIbQ,965
AAg14apnrrU,6237
89nJgvJiTv4,2549
rhy0l7Q_p28,11173
Fg8Z9BT2ca4,1276577
bqDy_Tsfi9o,13032
xOl3_ACKsww,49473
haGYRYcXvmk,20714
PZbmn4N-B9U,159321
eR3PRKi1w4s,30758
5QamdXXIsrw,31369
yEB_vI8o1wM,1366580
mkBSmnc6Ny0,65044
pSrRiRMgrg0,93554
v7PpdMpCC0A,13077
6xMRQliY8VM,14948
7j948dk5Mo8,215639
R6ACo_cLRI0,126679
EUVPxo7qCpM,5064
A98JZjr8sB4,8421
OPGMmlHgilg,2575
Oj-vgy0OMKw,204647
VcvfJAwbMYg,3419
J6lZEuoOx6Q,91673
J7b88ykDdiU,1145
WebTozUjD8g,23718
AZ3977Im5n0,263973
HQeNADU7A8Y,131
ecAVOzUBL3s,24214
FMIzzOlD3Gw,4367
t0rVdSW_Qck,46698
KkOwKBv0F7s,2405
dMlvYWjbao4,9454
-vYrxroRzcI,17500
PzLQpV2ySvc,2758
Z7sdrxjSB1M,5992
vv9_Y_XWmHk,1494
cSz1Sy4SCP8,4256
jN6mPUuCMbI,4021
y4PvD_oUzvY,3043
1wPOCrBttq8,35814
jiBLb5C04SE,798
6HGzEGl2ea4,232985
TN145HHuNS4,23355
fuknVtmthPo,279167
6RUYHpFN9uk,11571
dYvayJDwHkI,8588
cjuptXXzm0w,21498
j5Vm9dTCwuU,16759
1ESIKmX9zDw,1642
PsrNZsBRxX0,2715
8ACWBm_QdQE,7530
o2v8nGZbPAA,263639
LTNJp55yB9o,25736
d2bpE3HJ_2k,23466
5_WNu2KOrYs,50069
WP8s7OixvAM,49565
kEXraiKz9OE,1286
7MWCoeQS5V8,26489
0LAxibFW3H8,30458
EMIcuNbxQkY,22273
NWbXgEn1rOA,4926
OI4kkpw30o0,175468
2OskpONunSk,162076
nxZt5s9Pcqo,185524
wLIr7U3__V8,67830
v8z7_ed9iz0,10710
RHw-Sgq8JfM,123125
l5iP4S0397A,1900
xKxfLv_Ss6w,2558
0mTL6eDEc7o,22499
1Wz-nGMgOQI,60385
Y6_a0k1ICFE,22539
2Ip4ign24C0,549
UMiTo0GSFjI,10735
hCg3uuEusiM,773
EZduFxcXDh8,5711
J9S9T-MjHGs,4646
JlgDmpDHoew,30627
c2XKndOQrIE,36404
5vdbvZHVRho,1146
3fV4M8xNxIs,409
0JZvLW0P41s,2424
BRu56eBW0Z0,1323
5fzy5ELnHN8,4549
36mi0V1ll0I,662
rsFtJapyO_8,756722
OGaDmS0k1B8,260768
4OCtwFr7w9U,1803
YAGJ4R2Fj4k,1229
jtKZlEamto0,8434
keJ_5mLO0NE,2581
wUyNQfpG-QU,26317
drwpvVgAoX8,39383
fXVgIYcPWnE,27519
CU314OJ8fik,764
DLQ2qZq0cS0,24808
sb1pwTpKTW8,1315
uW4gI5tNY6A,4874
v4WAgVnH2io,1097
1zaWBQLTvFk,3757
9ObVBIXlL7s,4628
2m2LdYxHuG0,557623
EjJpW8UMd4U,4620
GUGE6AE_g_I,870
kpZczOaKXvg,3463
I-n67S78dC4,708
gqHKrR9yIC0,1360
NOnB9dvBbHw,3368
VqQyvf43QoY,11620
KJJ5gBQy5SY,1348
f0084gS3mOk,1271
Qi_ysO9M7b4,133622
NHQDNHo8vtY,18608
bqo-_EAlpUE,2794
Ok7xQj9CbuE,1903
7l3xqKvQNT0,37044
IEBNNKIpcdg,7834
kFXnmdgBoaI,1049
y645PDRbInE,15267
VC-O0yIC5Mo,48059
1lf4b2YP_ys,67349
W8Ihu5uAroI,58367
R7Mh9fT3OBY,1697
9npPkaJSDpI,3595
8yd5xye1k5g,5016
PlJVpF7MumA,10930
dtkIYFgSMwY,6147
baxh--I7Eeo,10099
XcyTMmoJiSI,4902
XhmOqKJYnWQ,86738
pmNVtuX1M1M,20769
kobXsP9eIMI,10148
7_oDsuZozeI,23281
4RGc-sajs9U,25101
UHWhKUmof0w,3828
wf7vgQ8TNCs,11690
sBobbh5CmCI,30898
vTrKaKRF9jk,33679
RtUbDUF-vJk,15465
rO4L9Z0cryY,179386
2zxoO6odfBM,29554
5QUMt4libpM,1565
_azM4t5Lh44,21415
ot2dp4wefmQ,9575
DFAmuBr0THk,36069
l81l0TyZDA0,2266
qNnh_1E-XPQ,26073
v-e8mVTcR8M,10426
Ikf-jJ6OCds,6980
iMw84GCykic,2343
LFqCp3xhC6I,12
M_39d0h6iac,7306
N402ckL6KVA,2348
dd654OmAsp0,1238
Lm-toc-udCM,9438
BMwquNN8H3s,7559
mytoan496hs,4219
uvrfA1q3Pxs,7743
3r2jFP9FAxI,946
Aw2lWYKKeoc,14752
f1lDPiPQHHU,3
-2gVo5Hgec8,249461
sD7GG7nuZmw,26679
lls2xVlvDZo,883210
KVdyV7jp-Fs,2813
FOnrYZG6jkQ,9927
5jauQ9Y091Q,1238
FERR2SE21EI,2012
kmv5ZjKBBV4,1203
c-pLak1nY-c,620
