video_id,channel_id,publish_time,status
CbRsraEiL_0,UCzkSDHzhv8FgCzujrxzj28g,2026-02-26T17:20:59Z,rejected
xQQhRXEXvjU,UCvcGjI52rm0TfWCgPlbVDpw,2026-02-26T17:18:37Z,rejected
VCJNV6u-R0Y,UCpYqWLGljZAUVMKnCke9M2w,2026-02-26T17:15:13Z,rejected
dOGyrHekI2c,UCgQJNRugpydX1JpUF_tEwNw,2026-02-26T17:15:18Z,rejected
42tg7Xg9qN8,UCccPkU66OFHkGGtKWCuHnbw,2026-02-26T17:11:49Z,rejected
I3Z8YacredU,UCp2h_9wPYKCxiUfTkVO8Oxw,2026-02-26T17:03:34Z,rejected
x3lLrmD6WX0,UCJnCHJsQFKdiVi5DKu341yA,2026-02-26T17:01:42Z,rejected
5tjnKN2-kTM,UC2iUwfYi_1FCGGqhOUNx-iA,2026-02-26T17:00:09Z,rejected
y4bSiMQk6nw,UCjcSBA1-8q_HIXdxDXvdXUg,2026-02-26T16:59:14Z,rejected
ze21zDV-UB0,UCoCnigPHrb-Fpim48wbKxLg,2026-02-26T17:00:00Z,waiting_final
esL1F-Vlmdw,UCcCG_Kicq-m9KwjByOayjdg,2026-02-26T16:55:00Z,waiting_final
6zoWs6pUxpo,UCR8DANN-C5EPYZw1dB3pPrg,2026-02-26T16:53:54Z,waiting_final
ZlvhVNPm8Vo,UCHVVHv5fEiavS4EL2GSu_lA,2026-02-26T16:50:21Z,rejected
rgivfXfGY5w,UCISxmViPewkMg22y9-Xbe0w,2026-02-26T16:49:26Z,rejected
CR3OR4sLD6I,UCISxmViPewkMg22y9-Xbe0w,2026-02-26T16:49:11Z,rejected
WrBdC2yfXl0,UCarFnA5hGHYTl224IZOunNA,2026-02-26T16:47:33Z,rejected
Xs9pSYDtIMY,UCt9yUnsQsvNta_uDmrxPgPg,2026-02-26T19:39:13Z,rejected
V6AL00z_9ow,UCyKHtB9cq_SnAN-ZP-Uyhgw,2026-02-26T19:28:37Z,rejected
cuO8vGJUNMo,UCxvYiKg0DOb4Me2UNvX0rFw,2026-02-26T19:30:08Z,monitoring
Me7FKiSKJlU,UCRAHplBpv2cCXPNvfvE02DQ,2026-02-26T19:17:27Z,monitoring
yUJFI4kBhZY,UCnFKg0ITAmyQ69EDZga80SQ,2026-02-26T19:08:24Z,rejected
7Wp-oTC0BqM,UCmA8y7X6Cit1H7bNNIA0fZQ,2026-02-26T19:04:31Z,rejected
S_RrQvAmaCM,UCoSovcGwMZEYDDlpntOls_A,2026-02-26T19:04:12Z,monitoring
NoyFTUV6Qzw,UCs_R--5Pah9G4sQbvr5eULw,2026-02-26T19:00:17Z,monitoring
kYYFQOEEhrw,UC5_i4k9IMYCSKpiuvsBllQA,2026-02-26T19:00:53Z,rejected
BvrfbBqd0jo,UC4TyGAaXMo5LCaXyP7BCoqg,2026-02-26T19:01:38Z,rejected
bmJct4k_y_A,UCHADktPpG_-F0VaucvhUOuQ,2026-02-26T18:59:00Z,rejected
dFScnG6JhnA,UCAQsrKAfKBPDwqtAcQ_qkdw,2026-02-26T18:58:43Z,rejected
n3oh2CSpF08,UCi9K-IJOfsYh-QOCp3Xl1ag,2026-02-26T18:59:45Z,rejected
LoDtwx-GTUE,UCN-dmJV7BIYZViTbSVng6qQ,2026-02-26T19:00:00Z,rejected
1i0ykxqrkCs,UCMItQMBuFb3XYNgiCyGBTYw,2026-02-26T19:00:03Z,rejected
0wlpk7y5Qtw,UCSNv7AayNb6zgxqh83hFlEw,2026-02-26T18:57:35Z,rejected
keGGkIKvwfU,UCS56E3xhFB8ERCTVQDEBQvw,2026-02-26T18:55:48Z,rejected
XGxRe7rYT2M,UCS56E3xhFB8ERCTVQDEBQvw,2026-02-26T18:55:06Z,rejected
Rcy2W2E9A-8,UCLytPjAioH-nM_70CqbGF-w,2026-02-26T18:51:49Z,rejected
b4YPUEVhacA,UCQgUnS1IvNhJOD0qggtUNxg,2026-02-26T18:47:33Z,rejected
lKSZEtHWH_4,UC9x1Q4Tm5a-uS-ZyTQvehNg,2026-02-26T18:46:33Z,rejected
a5S8E0QmUto,UCE0fliRK8ggBShDP2xx0Z2Q,2026-02-26T18:47:01Z,rejected
HbOTti2cy9o,UCcUr_9FT9kFwSY_iP3Yh8Ig,2026-02-26T18:42:17Z,rejected
UMJweEyLFSk,UCH2m-93YXB35ACK6PSR08Vg,2026-02-26T18:34:54Z,rejected
q9jKDARnxQ8,UC30rrPkgk5uD0l6V26OYYTA,2026-02-26T18:33:00Z,waiting_final
EhHILSTih18,UCr4yozcH7p_vGh1CL_sK-kA,2026-02-26T18:29:07Z,rejected
QfBYLCaV8sw,UCIahzFrjvRY06DCn4QmTNcA,2026-02-26T18:29:50Z,rejected
Gpbk-u-eW9w,UCnLu7A_IWURtc3a6UBuJAdA,2026-02-26T18:19:45Z,rejected
EngvIo_TXPU,UCK4SxmXRTyWe9WFa0wtPrrQ,2026-02-26T18:19:24Z,waiting_final
DN5vsMosHSE,UC52Yhgb12ypwN1H3ODM-x-g,2026-02-26T18:13:39Z,rejected
BHvJILZcwxM,UCOphh4ldTHKxtzO2JZ-nRXA,2026-02-26T18:13:47Z,waiting_final
ixnE7hZCJZI,UCbG4kuJnziUBfwxONmH7hiw,2026-02-26T18:14:26Z,waiting_final
0c0OWWkGmoA,UCpKC8JNaes186Iup_MIH1Ig,2026-02-26T18:11:34Z,rejected
8duZ0zgkLVM,UCcuAI0MjfULGuekN-UliO2g,2026-02-26T18:13:09Z,waiting_final
bllDNLybm2U,UCDYVgI7JW1DRPbGH8sjGV7w,2026-02-26T18:10:47Z,rejected
dNZ1V6rVx-E,UCPgT_DHU-TqUwYC6ZMvQZng,2026-02-26T18:08:14Z,rejected
hzEzPgVp5bM,UCjDGcSmi5zKDGGhdzni7k8A,2026-02-26T18:07:21Z,rejected
eIrabujpfuA,UCKoNLrkcK-9ibTo1M6XBtvw,2026-02-26T18:07:33Z,rejected
JiSYIJSzfkQ,UCnQCb5W-frhEmEAl2wIz4Kw,2026-02-26T18:04:12Z,rejected
gRn_qmf_Av8,UCgAp63djuph7IIQGrAu9iGw,2026-02-26T18:01:27Z,rejected
kbH5I76Idbk,UCk6rn_JzZBH-VGngjStJpVw,2026-02-26T18:00:50Z,waiting_final
ArWem7AOC_U,UCiOc_1ErQc6Nivhc62modcg,2026-02-26T18:00:19Z,rejected
14-vFPGF6S8,UCMrZPVJzelofRw5sSFvQ8vg,2026-02-26T18:00:05Z,rejected
B2kr6D4jEJc,UCv_ZQYqEeBtIZKRe0FyhDxg,2026-02-26T18:00:10Z,rejected
IILe43FGZsY,UCUDIEaB5qDwYSig2kZx-h-Q,2026-02-26T18:00:17Z,waiting_final
rNckbqLFbkg,UCDHUiPc2L5fnD5BWzrIDbRA,2026-02-26T17:59:12Z,waiting_final
9wSoBOX2h38,UCt79Y_oJflxELjgOwEoXdfA,2026-02-26T17:54:41Z,rejected
KSlrBIyNCiI,UCHkdDYVjtL7P6pB1rJNUFFw,2026-02-26T17:51:20Z,rejected
EdyjGKIaveM,UCfLrhZfFhfvxzmeAQqM6Dxg,2026-02-26T17:50:26Z,rejected
LKLQDIb4i30,UCZ64PenNFSOWtwbllngB34w,2026-02-26T17:51:20Z,rejected
AiQmUGBC8_4,UCI0-rZEkrXzo88DebvZNUdQ,2026-02-26T17:48:54Z,rejected
QcVL63rFV8Y,UCs4YwwEC4_jCiEX0Y7uwgzg,2026-02-26T17:47:17Z,waiting_final
R1BudPdi0Ew,UCBYt60d74PeVTBJ77n-Q-4Q,2026-02-26T17:47:31Z,rejected
-F9ElFr0xgU,UCIwK2MTUakwREbC4qqAg95A,2026-02-26T17:43:56Z,waiting_final
