video_id,hour1_views,hour1_likes,hour1_comments
aKI5DNwZSt0,528,8,0
S0TdEMlXicI,5074,129,3
DJtnx9ZI-qI,1282,19,1
C7cofrIgP8E,1113,14,0
8jxgcrvfWyM,323,45,7
i6BhSuX4hBY,115,3,0
P0-5rT-Bfmg,1876,54,0
TF0qwXIeTc8,637,5,0
x3mXvi57tcQ,603,0,0
IFg-N60oJtA,828,10,0
Njy_l2OYZY4,1109,66,2
i_bFejziKCg,5290,214,0
00_WQu_aKeM,642,8,0
ZKPMyoNEimQ,294,1,0
4mTm1ycb-O8,937,11,0
CbVbSRnETRU,287,68,11
KQgRcu4TE1Q,297,3,0
KzWcHhHqD4o,33,4,0
YI5qiZ0Uhng,818,0,0
rVOQ7CFxdyc,252,12,0
tigDX-apFMY,4351,37,0
QI9YpNIshyA,4690,0,0
98l-bX91Zfs,532,16,0
czLYQPa9Ypw,1585,0,0
TfKCnxxaWLo,1081,0,0
bIlN6Gh9lhw,8,0,0
RrwZNCz6JAA,5079,17,0
Ke_xBXhvYRw,360,4,0
5gE2_F4rekY,1744,0,0
EnM9uJI_Mv4,308,27,0
a9AHsBxH7YQ,1559,77,0
ZNeX4Lrv57g,4791,129,0
uz1HTHrepKw,1463,18,0
xRFcBAulSi0,4919,51,6
JH3jPQG6nKc,1974,29,0
KLYgmOXcJhk,1354,35,0
h2Lmr-th5pI,941,69,0
M0kl_4Bi0gs,1175,177,23
Gxlfn3cS_iM,14449,1303,67
R7cw5tVc0fU,3734,233,17
lmSdtdZIVOU,3943,36,1
GS1aZuy8-EA,2716,99,0
_3Z8Uo7DBxg,382,31,1
GIXOThmYJbA,3698,211,0
5eC3OyZqM0Y,230,3,1
Fg_wptLqThY,439,0,0
MuUM8_57lFk,268,23,0
Y1xEFCUbKRE,15512,896,6
t7WSgrQyRZY,1012,25,3
F3fW3l5Jrsg,1093,0,0
ilzUTM62bSs,11652,848,11
5lTeUQFaSuM,892,5,0
FWapuJ8c_1k,9147,1152,20
UUduIxlUpgg,2105,25,0
KKxMREzaxcU,1126,17,0
ADEx8kz_Oe4,628,15,1
g47Z0eAGB3k,957,38,3
RPLlCAMr_fo,311,38,2
bZ644Gk2aAc,632,4,0
TziOJ1i4rjM,462,5,0
lerXK8wUlpk,623,32,3
3rEd0NMfxto,7301,343,38
vhxBllBt2wg,5893,488,29
Oh2yYPZqmIo,840,14,0
vTJW4X7qAEE,112,9,4
ojEzyhih1g0,759,8,0
CZo_vB1NhoI,793,47,0
fQEGKwJFUdw,1498,61,6
slugiSJS_Z8,4234,107,7
KlMCh2zMuSQ,247,0,0
KfUUOMhWBM0,1273,117,11
d2YmNMiyrGA,188,10,6
ifXdYsJmu4I,1349,103,0
YSdLbCf9ULk,308,57,4
zPLmX2IvCnY,15574,584,3
jn2PAFVxCBY,467,10,2
p2y9LgMWNN8,1,0,0
EUUlFRyITOA,579,20,1
cWSSF4UsZ1I,953,9,1
Jv05Zif_XOs,809,0,0
iX_yo-ll4Es,3544,283,0
EVRQCPjPQYc,416,23,1
vNUPekDTxkg,894,26,0
VXf8eCZkZ3M,463,15,1
TCnW7yHPaX0,351,6,0
mh_hRCmPnuo,2398,205,4
uiDlsFMZep8,703,133,23
wqcKVcBDk7M,805,7,0
rRG2iFcdyt4,310,46,4
iWWLh26srt4,1109,19,0
l7HeYjtXrEU,204,4,0
7uErAykEn_8,5808,288,10
3-WUfGcnXGU,2650,63,0
BrEPKBbleY8,2505,0,0
GnWtXeFTGqI,2340,0,22
FGCuQAohdeY,665,6,0
gtxIadv1hB8,9158,863,11
qgyuBzOPVlo,13025,987,32
a-l1Zg1X6Uc,29312,187,2
YICe_2xX3EA,397,24,4
tFqkSsRRxFY,378,20,5
OQAtpszx1SE,602,0,0
gD8R9VIQkag,265,0,2
5sxsJuzc5yo,6381,476,3
pMExzjISaUQ,948,58,6
dLUTz2jFpXs,680,22,1
eS8Ghj1L8xo,2168,31,0
-4xnY9kPLbY,1516,86,0
6Jrtfp8As9w,732,8,0
Y8R1lpOCov4,976,13,0
5sSqCtcFAjo,247,69,33
DPCtugjIZBg,764,14,0
WFOME2q5gUU,553,6,2
KcYerhw2zDI,942,51,1
Ybryoaj9Vh8,454990,0,2
zLErsNDt9V4,1602,262,19
ssddDXgk_wo,748,28,0
j-9SJLGf7FQ,1193,92,6
4c4PBCD3JOk,920,0,0
iQ_37alTWbQ,1076,36,5
lrNVWb5d2ZI,4444,32,0
f-EDRZWyen8,1312,83,1
